LASTNAME,FIRSTNAME,MIDDLENAME,SUFFIX,BIRTHDATE,SEX,CITY,POSITION,BARANGAY
FAJUTAG,NELSON,FALCAN,,,,NAUJAN,Sangguniang Barangay Member,Laguna
LIBED,FLORIELIN,TOLENTINO,,,,NAUJAN,SK Chairperson,Laguna
TERIOMPO,HANNAH JADE,MASANGKAY,,,,NAUJAN,SK Member,Laguna
CATLE,REYNALDO,,II,,,NAUJAN,SK Member,Laguna
FAISAN,JONH PAUL,VERTUCIO,,,,NAUJAN,SK Member,Laguna
MASANGKAY,AILA MARIE,ONDOY,,,,NAUJAN,SK Member,Laguna
MELGAR,MARK RYAN,MARTIN,,,,NAUJAN,SK Member,Laguna
ALULOD,LORRENE JHOY,RAYMUNDO,,,,NAUJAN,SK Member,Laguna
DE GUZMAN,PETE JOHN,MAMINTA,,,,NAUJAN,SK Member,Laguna
RAMOS,GLORIA,FAMISAN,,,,NAUJAN,Barangay Treasurer,Laguna
FAJUTAG,ROSYPIN,FAALCAN,,,,NAUJAN,Barangay Secretary,Laguna
ONDOY,FROILAN,DEL MUNDO,,,,NAUJAN,Barangay Tanod,Laguna
MENDOZA,NILO,LOMIO,,,,NAUJAN,Barangay Tanod,Laguna
FABITO,VERGIL,FAMISAN,,,,NAUJAN,Barangay Tanod,Laguna
FABABAER,JUN JUN,NUESTRO,,,,NAUJAN,Barangay Tanod,Laguna
GARAB,ANGELO,FEGAL,,,,NAUJAN,Barangay Tanod,Laguna
GUAVEZ,ZALDY,GARCIA,,,,NAUJAN,Barangay Tanod,Laguna
CAPOTE,JAYMAR,LACIDA,,,,NAUJAN,Barangay Tanod,Laguna
GARAB,ERMIE,TERIOMPO,,,,NAUJAN,Barangay Tanod,Laguna
DE CASTRO,NORBERTO,PAGKALIWAGAN,,,,NAUJAN,Punong Barangay,Mabini
GODOY,TOMMY,DE GUZMAN,,,,NAUJAN,Sangguniang Barangay Member,Mabini
AMUL,MARLON,QUITAIN,,,,NAUJAN,Sangguniang Barangay Member,Mabini
SARCIA,MARLON,BALINGASA,,,,NAUJAN,Sangguniang Barangay Member,Mabini
MANHIC,CONCORDIA,FAJARDO,,,,NAUJAN,Sangguniang Barangay Member,Mabini
GODOY,IGLECERIA,MATIRA,,,,NAUJAN,Sangguniang Barangay Member,Mabini
PASIA,ISAAC,ALDAY,,,,NAUJAN,Sangguniang Barangay Member,Mabini
DE CASTRO,ANGELINA,BERSOTO,,,,NAUJAN,Sangguniang Barangay Member,Mabini
PANTOLLANA,ALENE CIFURA,ARCAN,,,,NAUJAN,SK Chairperson,Mabini
JABAL,REX,BERSOTU,,,,NAUJAN,SK Member,Mabini
DELOS REYES,REYNARD,EMPRON,,,,NAUJAN,SK Member,Mabini
PULVERA,ERICA,,,,,NAUJAN,SK Member,Mabini
DE TORRES,KEYCEL,DE GUZMAN,,,,NAUJAN,SK Member,Mabini
ZOLETA,JANN KENNETH,RIVERA,,,,NAUJAN,SK Member,Mabini
DELOS REYES,CHRISTIAN,MONTILLANA,,,,NAUJAN,SK Member,Mabini
DE CASTRO,ARCHIE,SERAD,,,,NAUJAN,SK Member,Mabini
CARPIO,DOLORES,DELOS REYES,,,,NAUJAN,Barangay Treasurer,Mabini
LUPIG,RENIEL,SAEL,SR,,,NAUJAN,Barangay Secretary,Mabini
ALZATE,ERIC,CASTILLO,,,,NAUJAN,Punong Barangay,Andres Ilagan
MARTINEZ,MELCHOR,CALANGI,,,,NAUJAN,Sangguniang Barangay Member,Andres Ilagan
MARTINEZ,MENA,MARANAN,,,,NAUJAN,Sangguniang Barangay Member,Andres Ilagan
REVELDEZ,JOE,MOTOL,,,,NAUJAN,Sangguniang Barangay Member,Andres Ilagan
EVORA,ERLITA,GENETA,,,,NAUJAN,Sangguniang Barangay Member,Andres Ilagan
QUIMORA,EARL ANTHONY,JAMISOLAMIN,,,,NAUJAN,Sangguniang Barangay Member,Andres Ilagan
PONCE,SIR VENZON,ALCAZAR,,,,NAUJAN,Sangguniang Barangay Member,Andres Ilagan
ALZATE,JOEL,GUTIERREZ,,,,NAUJAN,Sangguniang Barangay Member,Andres Ilagan
BONADO,ALEXA TRINNA,RAMOS,,,,NAUJAN,SK Chairperson,Andres Ilagan
FRANCISCO,IVAN,BELTRAN,,,,NAUJAN,SK Member,Andres Ilagan
GADING,JOEN,GAYOS,,,,NAUJAN,SK Member,Andres Ilagan
ESTEBAN,ABEGAIL,RAYOS,,,,NAUJAN,SK Member,Andres Ilagan
BONADO,ROBELYN,DELA CRUZ,,,,NAUJAN,SK Member,Andres Ilagan
GELENA,JEDIDIAH,CANDELERIA,,,,NAUJAN,SK Member,Andres Ilagan
PADILLA,ALELY,EVORA,,,,NAUJAN,Barangay Treasurer,Andres Ilagan
ESTEBAN,ADELFA,RAYOS,,,,NAUJAN,Barangay Secretary,Andres Ilagan
BERON,ARMANDO,VILLANUEVA,,,,NAUJAN,Punong Barangay,Mahabang Parang
ALCOSIN,EMMANUEL,MAGTIBAY,,,,NAUJAN,Sangguniang Barangay Member,Mahabang Parang
ESTORCO,JOSEPH,BOADO,,,,NAUJAN,Sangguniang Barangay Member,Mahabang Parang
ABAN,BELLA,BALATUCAN,,,,NAUJAN,Sangguniang Barangay Member,Mahabang Parang
LAGAHIT,JOVENAL,JUNIO,,,,NAUJAN,Sangguniang Barangay Member,Mahabang Parang
BORBE,MCHAEL,TORNO,,,,NAUJAN,Sangguniang Barangay Member,Mahabang Parang
MAHENCIO,ROBERTO,CANABERAL,,,,NAUJAN,Sangguniang Barangay Member,Mahabang Parang
GARCIA,ROBERT,AGENA,,,,NAUJAN,Sangguniang Barangay Member,Mahabang Parang
CUYA,NICKO,H,,,,NAUJAN,SK Chairperson,Mahabang Parang
BERON,JAY CARLO,RABINO,,,,NAUJAN,SK Member,Mahabang Parang
DATINGUINOO,HAZEL ANNE,NATIVIDAD,,,,NAUJAN,SK Member,Mahabang Parang
MIRANDA,CRISLYN,TEVES,,,,NAUJAN,SK Member,Mahabang Parang
MASIKAP,JOENNEL,TAPAS,,,,NAUJAN,SK Member,Mahabang Parang
DELIN,GAYLORD,ANTENOR,,,,NAUJAN,SK Member,Mahabang Parang
CELEMEN,FELIPA,EVANGELISTA,,,,NAUJAN,Barangay Treasurer,Mahabang Parang
LAGAHIT,BENILDA,REYNIDO,,,,NAUJAN,Barangay Secretary,Mahabang Parang
LEGASPI,RUEL,BASILAN,,,,NAUJAN,Barangay Tanod,Mahabang Parang
ALANO,SUSAN,PALAGAM,,,,NAUJAN,Barangay Tanod,Mahabang Parang
BERON,VICTOR,MARASIGAN,,,,NAUJAN,Barangay Tanod,Mahabang Parang
CAPIO,LAMBERTO,BLANZA,,,,NAUJAN,Barangay Tanod,Mahabang Parang
CUENCA,FERNANDO,GASCO,,,,NAUJAN,Barangay Tanod,Mahabang Parang
GUTIERREZ,BENEDICTA,MARASIGAN,,,,NAUJAN,Barangay Tanod,Mahabang Parang
MARASIGAN,JOHN,VILLANUEVA,,,,NAUJAN,Barangay Tanod,Mahabang Parang
MARASIGAN,PEDRO,BALAN,,,,NAUJAN,Barangay Tanod,Mahabang Parang
MARASIGAN,RUBEN,DIPASUPIL,,,,NAUJAN,Punong Barangay,Malaya
CABRAL,ROSANA,PEÑAREDONDA,,,,NAUJAN,Sangguniang Barangay Member,Malaya
ATIENZA,WELBERT,PEREZ,,,,NAUJAN,Sangguniang Barangay Member,Malaya
VILLANUEVA,MANUEL,BUNDAC,JR,,,NAUJAN,Sangguniang Barangay Member,Malaya
MATIRA,NARCISA,MARAMOT,,,,NAUJAN,Sangguniang Barangay Member,Malaya
MAGRAMO,BASIL ERIC,,,,,NAUJAN,Sangguniang Barangay Member,Malaya
MATIRA,ALLAN,ANCOT,,,,NAUJAN,Sangguniang Barangay Member,Malaya
MANALO,RENATO,MAGMANLAC,,,,NAUJAN,Sangguniang Barangay Member,Malaya
ABANTE,MARIANNE,MAGSINO,,,,NAUJAN,SK Chairperson,Malaya
GAPOS,MICAH,PALMA,,,,NAUJAN,SK Member,Malaya
CABRAL,MARC BENEDICT,PENAREDONDA,,,,NAUJAN,SK Member,Malaya
MENDOZA,JOHN JOSEPH,CABRAL,,,,NAUJAN,SK Member,Malaya
PAGADUAN,MARK RENNIER,CABRAL,,,,NAUJAN,SK Member,Malaya
SOLIS,ACE,MARTINEZ,,,,NAUJAN,SK Member,Malaya
HERNANDEZ,MYRA,MANALO,,,,NAUJAN,SK Member,Malaya
AXALAN,IAN VINCENT,DE GUZMAN,,,,NAUJAN,SK Member,Malaya
AXALAN,MARIO,DALANGIN,,,,NAUJAN,Barangay Treasurer,Malaya
BACAY,FILOMENA,DOLOR,,,,NAUJAN,Barangay Secretary,Malaya
LECCIONES,JUNAH,PRASCO,,,,NAUJAN,Punong Barangay,Malinao
CASAO,ANGELES,MELO,,,,NAUJAN,Sangguniang Barangay Member,Malinao
GAILLO,ERVIN,DELA TORRE,,,,NAUJAN,Sangguniang Barangay Member,Malinao
CALINA,ELSA,MANALO,,,,NAUJAN,Sangguniang Barangay Member,Malinao
GENIL,GERONIMO,ASILO,JR,,,NAUJAN,Sangguniang Barangay Member,Malinao
NUESTRO,ELMAR,SAN JUAN,,,,NAUJAN,Sangguniang Barangay Member,Malinao
JONG,MARIFE,FAJARDO,,,,NAUJAN,Sangguniang Barangay Member,Malinao
LACEDA,ROWENA,YLAGAN,,,,NAUJAN,Sangguniang Barangay Member,Malinao
GENABE,CLARENZ JAMES,BAYLON,,,,NAUJAN,SK Chairperson,Malinao
GENABE,ANA,RAFAEL,,,,NAUJAN,SK Member,Malinao
NIPAS,JOHN PATRICK LANCE,SUERTO,,,,NAUJAN,SK Member,Malinao
RAMOS,JOHN ARDIN,LABADOR,,,,NAUJAN,SK Member,Malinao
MANI,ROWIE,MAGSINO,,,,NAUJAN,SK Member,Malinao
MIGANO,KRIZZA MAE,RAYMUNDO,,,,NAUJAN,SK Member,Malinao
ABARQUEZ,JOEBERT,RAMOS,,,,NAUJAN,SK Member,Malinao
LOPEZ,MARY JOY,MACALALAD,,,,NAUJAN,SK Member,Malinao
DE TORRES,JEAN,GAVILAN,,,,NAUJAN,Barangay Treasurer,Malinao
MAGUNDAYAO,FELICIDAD,SAN JUAN,,,,NAUJAN,Barangay Secretary,Malinao
DELOS REYES,JOSE,RAMIREZ,,,,NAUJAN,Punong Barangay,Malvar
DE LEON,LUCENA,CANDELARIA,,,,NAUJAN,Sangguniang Barangay Member,Malvar
CARPIO,PRECIOSA,LUMACAD,,,,NAUJAN,Sangguniang Barangay Member,Malvar
CARPIO,ANGELITA,ESTELLAS,,,,NAUJAN,Sangguniang Barangay Member,Malvar
PODRA,MANNY,DE LEON,,,,NAUJAN,Sangguniang Barangay Member,Malvar
PEDIEGO,JESUS,ORTEGA,,,,NAUJAN,Sangguniang Barangay Member,Malvar
ESTILLES,MARY ANN,VIANA,,,,NAUJAN,Sangguniang Barangay Member,Malvar
DELOS REYES,DONATO,GABIA,,,,NAUJAN,Sangguniang Barangay Member,Malvar
DE LEON,MARIELLE,GARCIA,,,,NAUJAN,SK Chairperson,Malvar
REGATCHO,DENNIS,RAYOS,,,,NAUJAN,SK Member,Malvar
PEREZ,RANDY,GERON,,,,NAUJAN,SK Member,Malvar
JOSE,RICHARCH,BALITON,,,,NAUJAN,SK Member,Malvar
DELOS REYES,SONNY,FLORES,,,,NAUJAN,SK Member,Malvar
DELOS REYES,MAY,ILAGAN,,,,NAUJAN,SK Member,Malvar
ROBLES,BABYLYN,DE LEON,,,,NAUJAN,SK Member,Malvar
GUTIERREZ,MA. CHIN CHIN,ATIENZA,,,,NAUJAN,SK Member,Malvar
PUZON,WILMA,DE LEON,,,,NAUJAN,Barangay Treasurer,Malvar
GARCIA,MARJORIE,VILLARESCO,,,,NAUJAN,Barangay Secretary,Malvar
PUZON,EFREN,GUTIERREZ,,,,NAUJAN,Barangay Tanod,Malvar
DE LEON,PEDRO,BUKID,,,,NAUJAN,Barangay Tanod,Malvar
AGUILAR,MARLO,ABACA,,,,NAUJAN,Barangay Tanod,Malvar
DEL MUNDO,LEODEGARIO,MARAYA,,,,NAUJAN,Barangay Tanod,Malvar
PINEDA,ABAD,PATENA,,,,NAUJAN,Barangay Tanod,Malvar
MALANAO,HERARDO,DEYTA,,,,NAUJAN,Barangay Tanod,Malvar
PODRA,GERONIMO,RUALLO,,,,NAUJAN,Barangay Tanod,Malvar
DELIZO,NESTOR,RAYOS,,,,NAUJAN,Barangay Tanod,Malvar
DELIZO,CARLO,ALENO,,,,NAUJAN,Barangay Tanod,Malvar
DELOS REYES,ABAD,MENDOZA,,,,NAUJAN,Barangay Tanod,Malvar
PALCUTO,DANTE,MATIBAG,,,,NAUJAN,Punong Barangay,Masagana
MARASIGAN,MELVIN,LALUNIO,,,,NAUJAN,Sangguniang Barangay Member,Masagana
CATAPANG,CENON,MANALO,,,,NAUJAN,Sangguniang Barangay Member,Masagana
SALAZAR,JHONATAN,SOMIGA,,,,NAUJAN,Sangguniang Barangay Member,Masagana
FAJARDO,JOSEPHINE,BANIQUED,,,,NAUJAN,Sangguniang Barangay Member,Masagana
CATAPANG,APOLINARIO,SARMIENTO,JR,,,NAUJAN,Sangguniang Barangay Member,Masagana
MASILUNGAN,CHRISTY,MEDINA,,,,NAUJAN,Sangguniang Barangay Member,Masagana
MANGUNDAYAO,NESTOR,SANGGALANG,,,,NAUJAN,Sangguniang Barangay Member,Masagana
SALZAR,PHOENICA,EBONA,,,,NAUJAN,SK Chairperson,Masagana
BACATAN,REDINTOR,CARASCO,,,,NAUJAN,SK Member,Masagana
SALAZAR,HAZEL,MANALO,,,,NAUJAN,SK Member,Masagana
MANGUNDAYAO,ARLYNE,GARCIA,,,,NAUJAN,SK Member,Masagana
QUINAGORAN,NICOLE,SALAZAR,,,,NAUJAN,SK Member,Masagana
ALDOVINO,CARL,ROLLAN,,,,NAUJAN,SK Member,Masagana
MUGAR,MICHAELA,BAGAPORO,,,,NAUJAN,SK Member,Masagana
DELOS REYES,SHIELA MARIE,LABADOR,,,,NAUJAN,Barangay Treasurer,Masagana
MANGUNDAYAO,NOEL,DE VILLA,,,,NAUJAN,Barangay Secretary,Masagana
YANES,JULIA,DIPASUPIL,,,,NAUJAN,Barangay Tanod,Masagana
PALCUTO,ERICK,MATIBAG,,,,NAUJAN,Barangay Tanod,Masagana
SANGGALANG,JIMMY,ATIENZA,,,,NAUJAN,Barangay Tanod,Masagana
RAMOS,JEFFREY,SALAZAR,,,,NAUJAN,Barangay Tanod,Masagana
HERNANDEZ,JOHN MARK,,,,,NAUJAN,Barangay Tanod,Masagana
LUNAR,EDUARDO,MANGUNDAYAO,,,,NAUJAN,Barangay Tanod,Masagana
CEPILLO,NESTOR,SILVA,,,,NAUJAN,Barangay Tanod,Masagana
FABELLON,JAMES,FESALBON,,,,NAUJAN,Punong Barangay,Masaguing
FAMINIAL,DARWIN,OLIVERIA,,,,NAUJAN,Sangguniang Barangay Member,Masaguing
RAMILO,EDSON,FIEDACAN,,,,NAUJAN,Sangguniang Barangay Member,Masaguing
FABELLON,REYMART,FIEDACAN,,,,NAUJAN,Sangguniang Barangay Member,Masaguing
FAINSAN,RANNIEL,FADALLAN,,,,NAUJAN,Sangguniang Barangay Member,Masaguing
FADRILAN,JEROME,FEGALAN,,,,NAUJAN,Sangguniang Barangay Member,Masaguing
FAZ,ELMA,FONTICILLA,,,,NAUJAN,Sangguniang Barangay Member,Masaguing
FABELLON,ABELARDO,FABABAER,JR,,,NAUJAN,Sangguniang Barangay Member,Masaguing
FANER,MON LESTER,BALMES,,,,NAUJAN,SK Chairperson,Masaguing
FAS,KENT IVAN,,,,,NAUJAN,SK Member,Masaguing
FAMILARA,KRYSTAL,FAS,,,,NAUJAN,SK Member,Masaguing
CRUZ,PATRICK JAMES,FANER,,,,NAUJAN,SK Member,Masaguing
FESTIN,KATHLYN,FABABAER,,,,NAUJAN,SK Member,Masaguing
FAIGMANI,JOHN KIAN,FABUL,,,,NAUJAN,SK Member,Masaguing
FEROLINO,MAEVEL,MINGI,,,,NAUJAN,SK Member,Masaguing
SEÑORA,JUDITH,FIORES,,,,NAUJAN,Barangay Treasurer,Masaguing
FANER,LEA SHANEL,FABABAER,,,,NAUJAN,Barangay Secretary,Masaguing
NAVAL,NANCY,KALAW,,,,NAUJAN,Punong Barangay,Melgar A
MANAY,ROSS,ASTADA,,,,NAUJAN,Sangguniang Barangay Member,Melgar A
ORTEGA,JOHN GLENN,BULANHAGUI,,,,NAUJAN,Sangguniang Barangay Member,Melgar A
SALAZAR,ANTONIO,LATON,,,,NAUJAN,Sangguniang Barangay Member,Melgar A
ADA,LEXTER,MACATANGAY,,,,NAUJAN,Sangguniang Barangay Member,Melgar A
JARABE,PAUL ERNIE,SALVA CRUZ,,,,NAUJAN,Sangguniang Barangay Member,Melgar A
ALBURO,DESIREE,ORTEGA,,,,NAUJAN,Sangguniang Barangay Member,Melgar A
MAMINTA,REY,LATON,,,,NAUJAN,Sangguniang Barangay Member,Melgar A
MAO,AERON,VENTURANZA,,,,NAUJAN,SK Chairperson,Melgar A
FRONDOZO,AIRA MAE,MOJICA,,,,NAUJAN,SK Member,Melgar A
GEROLEO,ACE JEROME,HINTAY,,,,NAUJAN,SK Member,Melgar A
ADA,JOHN LESTER,BANCAT,,,,NAUJAN,SK Member,Melgar A
SARABIA,DERICK,JANDA,,,,NAUJAN,SK Member,Melgar A
PEREZ,MIKE LAURENCE,GENETA,,,,NAUJAN,SK Member,Melgar A
MAMINTA,JOHN PAUL,MOTOL,,,,NAUJAN,SK Member,Melgar A
ROA,ALLEN IVERSON,EBORA,,,,NAUJAN,SK Member,Melgar A
PEREZ,MELUDIA,ALCAPARAZ,,,,NAUJAN,Barangay Treasurer,Melgar A
RAGAS,CHRISTIAN JOSEPH,M,,,,NAUJAN,Barangay Secretary,Melgar A
DELA TORRE,SAN AGUSTIN,MONDRAGON,,,,NAUJAN,Barangay Tanod,Melgar A
HINTAG,ROMEO,MISA,,,,NAUJAN,Barangay Tanod,Melgar A
MACATANGAY,ROMMEL,BELIO,,,,NAUJAN,Barangay Tanod,Melgar A
DE CASTRO,DIONISIO,CORONA,,,,NAUJAN,Barangay Tanod,Melgar A
MENDOZA,LOID,FABABAER,,,,NAUJAN,Barangay Tanod,Melgar A
ACOSTA,REXALDO,LEYRON,,,,NAUJAN,Barangay Tanod,Melgar A
MAMINTA,ALLAN,DE LARA,,,,NAUJAN,Barangay Tanod,Melgar A
SASON,RONA,CORDERO,,,,NAUJAN,Barangay Tanod,Melgar A
RAMIREZ,SALATIEL,NACORDA,,,,NAUJAN,Punong Barangay,Metolza
ALDOVINO,ANABELLE,MARZO,,,,NAUJAN,Sangguniang Barangay Member,Metolza
CASIDSID,RONALD,FAMATIGA,,,,NAUJAN,Sangguniang Barangay Member,Metolza
PADRONES,ROLLY,RAMIREZ,,,,NAUJAN,Sangguniang Barangay Member,Metolza
SARDAN,MARIO,BUADILLA,,,,NAUJAN,Sangguniang Barangay Member,Metolza
LAPARA,LOLITA,ICALLA,,,,NAUJAN,Sangguniang Barangay Member,Metolza
LOZADA,ENRIQUE,RIVERA,,,,NAUJAN,Sangguniang Barangay Member,Metolza
MARZO,SHERWIN,GARCIA,,,,NAUJAN,Sangguniang Barangay Member,Metolza
GARCIA,JOHN JOSEPH,MATA,,,,NAUJAN,SK Chairperson,Metolza
ACOSTA,FRANCIS,MARZO,,,,NAUJAN,SK Member,Metolza
ICALLA,JADE,ARCES,,,,NAUJAN,SK Member,Metolza
YAPTANGCO,JOSHUA,MANIPON,,,,NAUJAN,SK Member,Metolza
AWITAN,LOUIE MIKO,COLOBONG,,,,NAUJAN,SK Member,Metolza
MALABANAN,JAHNIRRA MYLENE,PINE,,,,NAUJAN,SK Member,Metolza
PINE,WINDEL,VILLAR,,,,NAUJAN,SK Member,Metolza
MONTOYA,JAN SELISTER,MARZO,,,,NAUJAN,SK Member,Metolza
NEBRAO,ARLYN,COLOBONG,,,,NAUJAN,Barangay Treasurer,Metolza
JOAQUIN,JULIA,GARCIA,,,,NAUJAN,Barangay Secretary,Metolza
GARCIA,LARRY,PAGUAGAN,,,,NAUJAN,Punong Barangay,Montelago
FEUDO,JUNEDE,FEGALAN,,,,NAUJAN,Sangguniang Barangay Member,Montelago
GARAN,JENNETTE,VICTORIANO,,,,NAUJAN,Sangguniang Barangay Member,Montelago
ZAPATA,NORIEL,MORALES,,,,NAUJAN,Sangguniang Barangay Member,Montelago
RAMOS,REY,SANDOVAL,,,,NAUJAN,Sangguniang Barangay Member,Montelago
VALIENTE,ARVIN,FEUDO,,,,NAUJAN,Sangguniang Barangay Member,Montelago
CORONA,ALDRIN,FAMISAN,,,,NAUJAN,Sangguniang Barangay Member,Montelago
TUNGOL,KENNY JAY,TAÑALA,,,,NAUJAN,Sangguniang Barangay Member,Montelago
FABELLA,MA. ANGELIE PATRICE,TUNGOL,,,,NAUJAN,SK Chairperson,Montelago
PEREZ,MARIA LIZA,TUNGOL,,,,NAUJAN,SK Member,Montelago
ZAPATA,KRISNA CLARISH,FEUDO,,,,NAUJAN,SK Member,Montelago
FABABAER,TEEJAY,FETALCO,,,,NAUJAN,SK Member,Montelago
TOLENTINO,MADONNA,BUNYI,,,,NAUJAN,SK Member,Montelago
PADUA,WILBERT,LUISTRO,,,,NAUJAN,SK Member,Montelago
FADRILAN,GLENN MARK,ORNEDO,,,,NAUJAN,SK Member,Montelago
FABITO,HANECA ANGEL,FABABEIIR,,,,NAUJAN,SK Member,Montelago
FABLORINA,ROLLY,FESARITON,,,,NAUJAN,Barangay Treasurer,Montelago
AREVALO,JHONA MARIE,BUKID,,,,NAUJAN,Barangay Secretary,Montelago
UDTUHAN,MARCOS,FORIO,,,,NAUJAN,Punong Barangay,Montemayor
MARCOS,MAXIM,RAGAS,,,,NAUJAN,Sangguniang Barangay Member,Montemayor
UDTUHAN,JERWIN,MACULIT,,,,NAUJAN,Sangguniang Barangay Member,Montemayor
COMIA,REAGUN,MALINAO,,,,NAUJAN,Sangguniang Barangay Member,Montemayor
MONTEMAYOR,REA,VILLAS,,,,NAUJAN,Sangguniang Barangay Member,Montemayor
LABAY,GERLIE,FORTU,,,,NAUJAN,Sangguniang Barangay Member,Montemayor
ZAPATA,JOY,VILLEGAS,,,,NAUJAN,Sangguniang Barangay Member,Montemayor
ACEVEDA,ARISTEO,MAHAGUAY,,,,NAUJAN,Sangguniang Barangay Member,Montemayor
ACEVEDA,JON LLOYD,BALBOA,,,,NAUJAN,SK Chairperson,Montemayor
LABAY,SHEMMUEL JUDE,FORTU,,,,NAUJAN,SK Member,Montemayor
COMIA,REGINE,FABABAER,,,,NAUJAN,SK Member,Montemayor
FABABAER,EIRRON,FABUL,,,,NAUJAN,SK Member,Montemayor
UDTUHAN,JHIEMAE,FERARO,,,,NAUJAN,SK Member,Montemayor
BOLAÑOS,KIM NICOLE,DPRADO,,,,NAUJAN,SK Member,Montemayor
FEUDO,MARAH SHANE,GARDOCE,,,,NAUJAN,SK Member,Montemayor
FABABAER,MERCEL,FABUL,,,,NAUJAN,Barangay Treasurer,Montemayor
FADERAGAO,JECELYN,ESPIRITU,,,,NAUJAN,Barangay Secretary,Montemayor
MORENO,RUBYLEN,BRUCE,,,,NAUJAN,Punong Barangay,Motoderazo
DRIS,GIGIT,BACAY,,,,NAUJAN,Sangguniang Barangay Member,Motoderazo
JEREMIA,RONALD,DE CASTRO,,,,NAUJAN,Sangguniang Barangay Member,Motoderazo
NAVARRO,PABLO,PARADERO,,,,NAUJAN,Sangguniang Barangay Member,Motoderazo
PATULOT,NOVEN,GAYAT,,,,NAUJAN,Sangguniang Barangay Member,Motoderazo
STO NINO,LEONIDA,HERNANDEZ,,,,NAUJAN,Sangguniang Barangay Member,Motoderazo
PATULOT,VICENTE,BOOL,,,,NAUJAN,Sangguniang Barangay Member,Motoderazo
PATULOT,JOSEPH,SALCEDO,,,,NAUJAN,Sangguniang Barangay Member,Motoderazo
CASAS,GEMALYN,ALDOVINO,,,,NAUJAN,SK Chairperson,Motoderazo
JEREMIA,MARK,MAGBOO,,,,NAUJAN,SK Member,Motoderazo
RELANO,MARC PAULO,BACAY,,,,NAUJAN,SK Member,Motoderazo
AGNO,ROBINSON,MARCELLANA,,,,NAUJAN,SK Member,Motoderazo
DE JUAN,CARIZZA MAE,MERCADO,,,,NAUJAN,SK Member,Motoderazo
SOLAS,BERNABE DAVE,EVANGELISTA,,,,NAUJAN,SK Member,Motoderazo
GARCIA,KAILA SANDRA,ILAGAN,,,,NAUJAN,SK Member,Motoderazo
DALISAY,MEREJANE,MACALELONG,,,,NAUJAN,Barangay Treasurer,Motoderazo
RAMOS,CRIS KIMBERLY,MANALO,,,,NAUJAN,Barangay Secretary,Motoderazo
MANALO,ANGELINA,RAMIREZ,,,,NAUJAN,Nutrition Scholar,Motoderazo
MAÑIBO,EDGARDO,SARA,,,,NAUJAN,Barangay Tanod,Motoderazo
HERNANDEZ,ROMEL,CRISOSTOMO,,,,NAUJAN,Barangay Tanod,Motoderazo
BACAY,GELLO,DE LEON,,,,NAUJAN,Barangay Tanod,Motoderazo
VILLENA,JEFFRY,CASAS,,,,NAUJAN,Barangay Tanod,Motoderazo
CABAÑERA,PORFIRIO,FRUELDA,JR,,,NAUJAN,Barangay Tanod,Motoderazo
DATINGUINOO,MELVIN,AGUILON,,,,NAUJAN,Barangay Tanod,Motoderazo
CASTILLO,JOJO,MACALINTAL,,,,NAUJAN,Barangay Tanod,Motoderazo
CASAS,RONIEL,SILVA,,,,NAUJAN,Barangay Tanod,Motoderazo
PATULOT,EDGARDO,DE GALA,,,,NAUJAN,Barangay Tanod,Motoderazo
BELTRAN,FREDDIE,MANIGBAS,,,,NAUJAN,Barangay Tanod,Motoderazo
CASTILLO,NENITA,CASTILLO,,,,NAUJAN,Barangay Tanod,Motoderazo
PATULOT,JOMAR,SANDOVAL,,,,NAUJAN,Barangay Tanod,Motoderazo
MONTERO,JHOAN,CASTILLO,,,,NAUJAN,Day Care Worker,Motoderazo
MANALO,ARGELIO,ROSALES,,,,NAUJAN,Lupon Member,Motoderazo
NAVARRO,LIBRADA,PARADERO,,,,NAUJAN,Lupon Member,Motoderazo
SANDOVAL,EMELYN,MASANGKAY,,,,NAUJAN,Lupon Member,Motoderazo
ROSALES,HERMINIGILDO,MORENO,,,,NAUJAN,Lupon Member,Motoderazo
ALBIA,RODRIGO,BARIT,JR,,,NAUJAN,Lupon Member,Motoderazo
AGUILAR,BABYLENE,TABERNERO,,,,NAUJAN,Lupon Member,Motoderazo
YLAGAN,CULBERT,RIOFLORIDO,,,,NAUJAN,Lupon Member,Motoderazo
OCAMPO,GLADYS,BACAY,,,,NAUJAN,Lupon Member,Motoderazo
MASANGKAY,JESUS,ABANES,,,,NAUJAN,Lupon Member,Motoderazo
BELTRAN,CONNIE,CORONACION,,,,NAUJAN,Lupon Member,Motoderazo
DALISAY,ESTELITA,CRUZAT,,,,NAUJAN,Lupon Member,Motoderazo
GILLADO,MELISA,MAÑIBO,,,,NAUJAN,Lupon Member,Motoderazo
MONTERO,WENDY,UMALI,,,,NAUJAN,Barangay Health Worker,Motoderazo
MENDOZA,MYRNA,STO.NIÑO,,,,NAUJAN,Barangay Health Worker,Motoderazo
MACALALAD,JOVELYN,MACAPUNO,,,,NAUJAN,Barangay Health Worker,Motoderazo
DALISAY,JOAN,BAYNOSA,,,,NAUJAN,Barangay Health Worker,Motoderazo
PATULOT,LOIDA,LEPROSO,,,,NAUJAN,Barangay Health Worker,Motoderazo
MORENO,EVELYN,CABAÑERA,,,,NAUJAN,Barangay Health Worker,Motoderazo
